x1,y1,T
0.0028,0.0320,99.30
0.0118,0.1130,96.90
0.0137,0.1570,96.00
0.0144,0.1350,96.00
0.0176,0.1560,95.60
0.0222,0.1860,94.80
0.0246,0.2120,93.80
0.0302,0.2310,93.50
0.0331,0.2480,92.90
0.0519,0.3180,90.50
0.0530,0.3140,90.50
0.0625,0.3390,89.40
0.0673,0.3700,88.40
0.0715,0.3620,88.60
0.0871,0.4060,87.20
0.1260,0.4680,85.40
0.1430,0.4780,84.50
0.1720,0.5050,84.00
0.2060,0.5300,83.40
0.2100,0.5270,83.00
0.2500,0.5520,82.30
0.2840,0.5670,82.00
0.3210,0.5860,81.40
0.3240,0.5860,81.50
0.3450,0.5910,81.20
0.4050,0.6140,80.90
0.4300,0.6260,80.50
0.4490,0.6330,80.20
0.5060,0.6610,80.00
0.5450,0.6730,79.50
0.6630,0.7330,78.80
0.7350,0.7760,78.50
0.8040,0.8150,78.40
0.9170,0.9060,78.30


